정부,대통령,명칭,이름,임기시작,임기종료,링크
제1공화국,이승만,대통령,이승만,1948년 7월 24일,1960년 4월 27일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%8A%B9%EB%A7%8C
제1공화국,이승만,국무총리,이윤영,1948년 7월 22일,1948년 7월 31일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9C%A4%EC%98%81_
제1공화국,이승만,국무총리,이범석,1948년 7월 31일,1950년 4월 20일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%B2%94%EC%84%9D_
제1공화국,이승만,국무총리,이윤영,1950년 4월 3일,1950년 4월 6일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9C%A4%EC%98%81_
제1공화국,이승만,국무총리,신성모,1950년 4월 21일,1950년 11월 22일,https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%84%B1%EB%AA%A8
제1공화국,이승만,국무총리,백낙준,1950년 11월 3일,1950년 11월 15일,https://ko.wikipedia.org/wiki/%EB%B0%B1%EB%82%99%EC%A4%80
제1공화국,이승만,국무총리,장면,1950년 11월 23일,1952년 4월 23일,https://ko.wikipedia.org/wiki/%EC%9E%A5%EB%A9%B4
제1공화국,이승만,국무총리,허정,1951년 11월 6일,1952년 4월 9일,https://ko.wikipedia.org/wiki/%ED%97%88%EC%A0%95
제1공화국,이승만,국무총리,이윤영,1952년 4월 24일,1952년 5월 5일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9C%A4%EC%98%81_
제1공화국,이승만,국무총리,장택상,1952년 5월 6일,1952년 10월 5일,https://ko.wikipedia.org/wiki/%EC%9E%A5%ED%83%9D%EC%83%81
제1공화국,이승만,국무총리,이윤영,1952년 10월 5일,1952년 10월 17일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9C%A4%EC%98%81_
제1공화국,이승만,국무총리,백두진,1952년 10월 9일,1953년 4월 23일,https://ko.wikipedia.org/wiki/%EB%B0%B1%EB%91%90%EC%A7%84
